date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-06-11,Mexico,South Africa,2,0,Friendly,Mexico City,Mexico,FALSE
2026-06-12,Canada,Bosnia and Herzegovina,0,1,Friendly,Toronto,Canada,FALSE
